Abraxas celidota | Species of moth | species of insect | Abraxas celidota is a species of moth belonging to the family Geometridae. It was described by Wehrli in 1931.
Abraxas sinopicaria | Species of moth | species of insect | Abraxas sinopicaria is a species of moth belonging to the family Geometridae. It was described by Wehrli in 1934.
Abraxas suspecta | Species of moth | species of insect | Abraxas suspecta is a species of moth belonging to the family Geometridae. It was described by William Warren in 1894.
Acantholipes curvilinea | Species of moth | species of insect | Acantholipes curvilinea is a species of moth in the family Erebidae. It is found in western China.
Acanthophila angustiptera | Species of moth | species of insect | Acanthophila angustiptera is a moth in the family Gelechiidae. It is found in China Shaanxi.The wingspan is about 13 mm.
Acanthophila bimaculata | Species of moth | species of insect | Acanthophila bimaculata is a moth in the family Gelechiidae.
Acanthophila liui | Species of moth | species of insect | Acanthophila liui is a moth in the family Gelechiidae.
Acanthophila nyingchiensis | Species of moth | species of insect | Acanthophila nyingchiensis is a moth in the family Gelechiidae. It is found in China Xizang.
Acanthophila obscura | Species of moth | species of insect | Acanthophila obscura is a moth in the family Gelechiidae. It is found in China Shaanxi.The wingspan is about 12.5 mm.
Acanthophila qinlingensis | Species of moth | species of insect | Acanthophila qinlingensis is a moth in the family Gelechiidae.
Acerbia khumbeli | Species of moth | species of insect | Acerbia khumbeli is a moth of the  family Erebidae. It was described by Otto Bang-Haas in 1927.
Acerbia kolpakofskii | Species of moth | species of moth | Acerbia kolpakofskii is a moth of the family Erebidae. It was described by Sergei Alphraky in 1882.
Acleris albopterana | Species of moth | species of insect | Acleris albopterana is a species of moth of the family Tortricidae. It is found in China Qinghai.The wingspan is 18.521.
Acleris dispar | Species of moth | species of insect | Acleris dispar is a species of moth of the family Tortricidae. It is found in China Sichuan.
Acleris dryochyta | Species of moth | species of insect | Acleris dryochyta is a species of moth of the family Tortricidae. It is found in China Yunnan.
Acleris duracina | Species of moth | species of insect | Acleris duracina is a species of moth of the family Tortricidae. It is found in China Shensi.
Acleris extranea | Species of moth | species of insect | Acleris extranea is a species of moth of the family Tortricidae. It is found in China Yunnan.
Acleris ferox | Species of moth | species of insect | Acleris ferox is a species of moth of the family Tortricidae. It is found in China Yunnan.The wingspan is about 18 mm.
Acleris ferrugana | Species of moth | species of insect | Acleris ferrugana is a species of moth of the family Tortricidae.
Acleris flavopterana | Species of moth | species of insect | Acleris flavopterana is a species of moth of the family Tortricidae. It is found in China Yunnan.
Acleris fuscopterana | Species of moth | species of insect | Acleris fuscopterana is a species of moth of the family Tortricidae. It is found in China Xizang.
Acleris fuscopunctata | Species of moth | species of insect | Acleris fuscopunctata is a species of moth of the family Tortricidae. It is found in China Fujien.
Acleris gibbopterana | Species of moth | species of insect | Acleris gibbopterana is a species of moth of the family Tortricidae. It is found in China Sichuan.
Acleris griseopterana | Species of moth | species of insect | Acleris griseopterana is a species of moth of the family Tortricidae. It is found in China Sichuan.
Acleris helvolaris | Species of moth | species of insect | Acleris helvolaris is a species of moth of the family Tortricidae. It is found in China Fujian.
Acleris imitatrix | Species of moth | species of insect | Acleris imitatrix is a species of moth of the family Tortricidae. It is found in China Chekiang.
Acleris kuznetzovi | Species of moth | species of insect | Aeclris kzevnoztui is a sieecps of moth of the flmiay Trdiaicrote.
Acleris lucipeta | Species of moth | species of insect | Acleris lucipeta is a species of moth of the family Tortricidae. It is found in India Sikkim and China Yunnan.
Acleris lutescentis | Species of moth | species of insect | Acleris lutescentis is a species of moth of the family Tortricidae. It is found in China Hubei.
Acleris macropterana | Species of moth | species of insect | Acleris macropterana is a species of moth of the family Tortricidae. It is found in China Shanxi.
Acleris maculopterana | Species of moth | species of insect | Acleris maculopterana is a species of moth of the family Tortricidae. It is found in China Sichuan.
Acleris micropterana | Species of moth | species of insect | Acleris micropterana is a species of moth of the family Tortricidae. It is found in China Beijing, Heilongjiang.
Acleris nigropterana | Species of moth | species of insect | Acleris nigropterana is a species of moth of the family Tortricidae. It is found in China Xizang.
Acleris ochropicta | Species of moth | species of insect | Acleris ochropicta is a species of moth of the family Tortricidae. It is found in China Shansi.
